,S_a,S_q,S_sk,S_ku,S_z,S_10z,S_v,S_p,S_mean,S_sc,S_3a,S_dr,S_dq,S_dq6,S_bi,S_ci,S_vi,S_pk,S_vk,S_k,S_dc0-5,S_dc5-10,S_dc10-50,S_dc50-95,S_dc50-100,S_ds,S_td,S_tdi,S_rw,S_rwi,S_hw,S_fd,S_cl20,S_cl37,S_tr20,S_tr37
S_dc0-5,0.728072179664215,0.741390439800553,-0.027953921134882126,-0.005841962313415126,0.9104118840926775,0.9217823109005222,-0.8060605730511635,0.9439818985501516,0.8042255491764937,0.8720619448680739,0.8589178628145913,0.8589178628145913,0.1548585787865286,0.1705133640835216,0.08220093131920189,-0.09486662074808451,0.08922333876277486,0.6875909415066245,0.6664563018284588,0.7748852987763587,1.0,0.7258208743095605,0.6703402199281002,0.7398961498030384,0.8010473829741129,0.17121043960456658,0.07852959825266981,0.2615151147865856,0.026973482486447844,0.25574206506913083,-0.2631127990401115,0.2331364982318877,1.2279773182667254e-15,1.2279773182667254e-15,0.12014339282578558,0.18142954431636824
S_dc5-10,0.8848973426451047,0.9022626339248433,0.07621752545567653,-0.028403011985381962,0.876060183521605,0.8887943441339861,-0.8190988687401298,0.8817124104928277,0.7259302821402158,0.4850465395831597,0.5128147002642301,0.5128147002642301,0.13931986332123017,0.1451205614552738,-0.26544674758459885,0.2496285862387076,-0.06099140629424544,0.9543584023926259,0.6946138316570402,0.8372511448070333,0.7258208743095605,1.0,0.8855017541267708,0.8268930230248759,0.7881807381787328,-0.15740494597089405,0.13608247784176955,-0.010059141534601529,0.032351416462264256,-0.10649301515509929,0.11442964814654842,-0.2103884833879253,-1.0827677345237598e-15,-1.0827677345237598e-15,-0.038073193170959356,-0.05418879093855934
S_dc10-50,0.983384224827669,0.9824676758069625,-0.07893490010847351,-0.19826990710095344,0.8896501821673837,0.8819944633312291,-0.8671784251868808,0.8736943869796925,0.7815494140970093,0.44320152804653024,0.4806530979257123,0.4806530979257123,0.14454016980441964,0.14850005109160846,-0.1126739022422433,0.09549452777384551,-0.07839761935512252,0.9396411023273434,0.708774950014483,0.9271325346211764,0.6703402199281002,0.8855017541267708,1.0,0.9033522893498147,0.82898442635211,-0.2846250958942088,0.15044479896385243,-0.03731230583431543,0.022367010043035918,-0.16415217064082097,0.18659695117855563,-0.2808067331856078,5.806358284974016e-16,5.806358284974016e-16,-0.05784124450702386,-0.0975532160151561
S_dc50-95,0.9592386397219381,0.9618495865620184,-0.2760343867040706,-0.21816350458384337,0.937878412591112,0.90270277759137,-0.969967620754328,0.886846183350234,0.9079376226033069,0.5668940362141157,0.5924011952377681,0.5924011952377681,0.15184878924257367,0.15807384494913623,0.1441755760145907,-0.17203538904893748,0.20708191134626638,0.8052274821691618,0.8907020298138889,0.9750452445035585,0.7398961498030384,0.8268930230248759,0.9033522893498147,1.0,0.9636311493416561,-0.23757544184379148,0.09113163808121355,0.03304570772784706,0.028735793687840353,-0.07755475981088089,0.12093635429105805,-0.18385618694009612,2.1202620465633577e-15,2.1202620465633577e-15,-0.003066006249370459,-0.014027541786390645
S_dc50-100,0.8999260861698194,0.906844938796157,-0.30567667889288297,-0.18801163185905273,0.9532486544169331,0.9116670244284966,-0.9969418856896144,0.8945854553341661,0.9540283120279814,0.6814053275461049,0.6954482225753208,0.6954482225753209,0.15548094035041973,0.1648212542536112,0.19838343749517723,-0.23000808897334432,0.29538482413549344,0.747322408136359,0.9235540906966772,0.9382065630495734,0.8010473829741129,0.7881807381787328,0.82898442635211,0.9636311493416561,1.0,-0.13112290022142958,0.06149179714808238,0.09110404745655701,0.02956541938266696,0.025798585231714622,0.012483125356870515,-0.05976591456407572,8.476668333867744e-16,8.476668333867744e-16,0.040037383115694575,0.06069984028320445
S_ds,-0.2643890015325934,-0.2531489374303373,0.2803122025828284,0.3344472412753389,-0.06729228917782448,-0.005537412717599122,0.14667249851049963,-0.016356017927336153,-0.09302352369632633,0.3815504933714739,0.2735813744507333,0.2735813744507332,-0.027270025871447962,0.01616554246536849,-0.026588091279998397,0.038468757995339865,-0.04418231537044696,-0.20053384820331654,-0.1536490058957402,-0.20459290347751558,0.17121043960456658,-0.15740494597089405,-0.2846250958942088,-0.23757544184379148,-0.13112290022142958,1.0,-0.08023125303351336,0.3626152178368636,0.011894532261500296,0.5055650309508521,-0.5669027124634958,0.7850674575487864,-3.980039224987527e-15,-3.980039224987527e-15,0.19924104017527766,0.28914652550771197
S_td,0.12543391405659904,0.1259252287049941,-0.10299686444332322,-0.22333687058441717,0.10181510029562546,0.12051763307428587,-0.07525740806807328,0.11470053374496489,0.03658670371256643,0.048081898186923495,0.0334400905084779,0.03344009050847791,0.025581227295808938,0.027201402508486964,-0.07256131000186364,0.03144276954542559,0.021129596464287595,0.15786658693317993,0.017982525667759836,0.10646177621808975,0.07852959825266981,0.13608247784176955,0.15044479896385243,0.09113163808121355,0.06149179714808238,-0.08023125303351336,1.0,0.26541950757016475,-0.12669347396371428,0.09074576013478453,-0.10783527457784146,-0.050696330123657575,0.0,0.0,-0.04355506175118446,-0.04400151831776553
S_tdi,-0.0033398251861982567,-0.001213975059605137,-0.10207137257378157,-0.061985867901554866,0.12446101023816765,0.14344872399412975,-0.07961715566927535,0.14780504546102388,0.14162120812384532,0.4032770935278642,0.32473312089039374,0.3247331208903938,-0.0029861589013800934,0.014511343661928475,0.18524305477389444,-0.21206759693761362,0.15549489197060204,-0.03385089727742314,0.051008263986627285,0.05075162466879128,0.2615151147865856,-0.010059141534601529,-0.03731230583431543,0.03304570772784706,0.09110404745655701,0.3626152178368636,0.26541950757016475,1.0,0.06146632516966421,0.46369934330601414,-0.4160620894802504,0.47761595168024484,-1.9426899433272027e-15,-1.9426899433272027e-15,0.2257977685572082,0.30941207008072147
S_rw,0.0256205237738811,0.027018145082979204,0.01814745093415915,0.04734497213426396,0.0296301772515898,0.02194742891687169,-0.028827822703295546,0.02913183580615821,0.04233252173250899,0.015879170690455233,0.029795429485518617,0.02979542948551859,-0.029056562491442037,-0.03527720530917667,0.0011158547156000713,0.007370742721023721,-0.004421257466641641,0.03474363134099464,0.05344977339907567,0.021287255028112535,0.026973482486447844,0.032351416462264256,0.022367010043035918,0.028735793687840353,0.02956541938266696,0.011894532261500296,-0.12669347396371428,0.06146632516966421,1.0,-0.2500981683525038,0.17091592805214054,-0.06957262995316736,5.910016838139602e-17,5.910016838139602e-17,-0.008445552847484591,0.03992580442911367
S_rwi,-0.12229012171746842,-0.1195407692287701,-0.07953742451313338,0.00582164766526254,0.058263539851965536,0.08732867922229104,-0.006929159522867077,0.08780125940765099,0.08267288112057293,0.4841136405290998,0.3729992677623772,0.3729992677623772,0.01618912792860084,0.045827567339263395,0.22005890126780703,-0.24128954304608613,0.158243637052647,-0.1554887082652588,-0.03477767400038104,-0.03875549534022168,0.25574206506913083,-0.10649301515509929,-0.16415217064082097,-0.07755475981088089,0.025798585231714622,0.5055650309508521,0.09074576013478453,0.46369934330601414,-0.2500981683525038,1.0,-0.7732493746980936,0.7518285624108608,-1.007911603028741e-15,-1.007911603028741e-15,0.34873501452698547,0.37279406198033976
S_hw,0.14911954621045323,0.14647041949171272,0.02273100122105815,-0.045825211300183834,-0.040492927174367324,-0.08475757053345184,-0.02902553838255107,-0.08177765449736532,-0.06302614857976467,-0.49083762840503137,-0.37260731375302586,-0.37260731375302586,-0.016710916035108374,-0.054235965796123664,-0.19448252116209616,0.20908580861249915,-0.08812748713223681,0.17039811901588836,0.09843478969135265,0.05880834367554357,-0.2631127990401115,0.11442964814654842,0.18659695117855563,0.12093635429105805,0.012483125356870515,-0.5669027124634958,-0.10783527457784146,-0.4160620894802504,0.17091592805214054,-0.7732493746980936,1.0,-0.7940874613289135,6.338131670976585e-15,6.338131670976585e-15,-0.22479982263180276,-0.3164970717831757
S_fd,-0.2338359933393904,-0.23142428123979153,0.021523973839896567,0.11886778719143713,-0.0200271708193467,0.018693812520306854,0.08315814495971771,0.01936288851336069,0.024769466473930787,0.5170451917607972,0.3833735374937823,0.3833735374937823,0.004912024943204579,0.05239200613012107,0.21311638625039164,-0.2189472189430727,0.08448808761094513,-0.26525754876687724,-0.11340780853339887,-0.13963981711484902,0.2331364982318877,-0.2103884833879253,-0.2808067331856078,-0.18385618694009612,-0.05976591456407572,0.7850674575487864,-0.050696330123657575,0.47761595168024484,-0.06957262995316736,0.7518285624108608,-0.7940874613289135,1.0,-6.7398187130937004e-15,-6.7398187130937004e-15,0.28041438467857377,0.37701972456414123
S_cl20,8.275497997547979e-16,-1.885258755702314e-15,-1.3000252053193495e-15,-1.3177961797359648e-15,-2.9372708128576628e-15,1.1045743413455497e-15,6.273638895285111e-16,-1.0844883545614662e-15,1.7607970737495094e-15,3.3854174817811337e-16,9.600565733831824e-17,9.320563816694913e-17,-1.6436683183502917e-13,-4.5013996397485154e-13,5.308837983228036e-15,-1.241395081563253e-14,-1.260353784440526e-14,4.3797073568709973e-16,-1.096186364521404e-16,4.263608457255358e-16,1.2279773182667254e-15,-1.0827677345237598e-15,5.806358284974016e-16,2.1202620465633577e-15,8.476668333867744e-16,-3.980039224987527e-15,0.0,-1.9426899433272027e-15,5.910016838139602e-17,-1.007911603028741e-15,6.338131670976585e-15,-6.7398187130937004e-15,1.0,1.0,-1.6907290659082102e-16,7.832831414350094e-16
S_cl37,8.275497997547979e-16,-1.885258755702314e-15,-1.3000252053193495e-15,-1.3177961797359648e-15,-2.9372708128576628e-15,1.1045743413455497e-15,6.273638895285111e-16,-1.0844883545614662e-15,1.7607970737495094e-15,3.3854174817811337e-16,9.600565733831824e-17,9.320563816694913e-17,-1.6436683183502917e-13,-4.5013996397485154e-13,5.308837983228036e-15,-1.241395081563253e-14,-1.260353784440526e-14,4.3797073568709973e-16,-1.096186364521404e-16,4.263608457255358e-16,1.2279773182667254e-15,-1.0827677345237598e-15,5.806358284974016e-16,2.1202620465633577e-15,8.476668333867744e-16,-3.980039224987527e-15,0.0,-1.9426899433272027e-15,5.910016838139602e-17,-1.007911603028741e-15,6.338131670976585e-15,-6.7398187130937004e-15,1.0,1.0,-1.6907290659082102e-16,7.832831414350094e-16
S_tr20,-0.03450723836619543,-0.03236416054330373,-0.05578916372946179,0.006582427470677721,0.04361738176139175,0.04601983386344922,-0.029355419769746618,0.05090677088387145,0.05531019957045751,0.19662857025207645,0.1612112741691686,0.16121127416916858,-0.054021507599797194,-0.04431310843547721,0.1181647948242385,-0.12667995890219214,0.11289447609652095,-0.058417115391063236,0.02998231177993532,0.0028877437087301483,0.12014339282578558,-0.038073193170959356,-0.05784124450702386,-0.003066006249370459,0.040037383115694575,0.19924104017527766,-0.04355506175118446,0.2257977685572082,-0.008445552847484591,0.34873501452698547,-0.22479982263180276,0.28041438467857377,-1.6907290659082102e-16,-1.6907290659082102e-16,1.0,0.19913633756751434
S_tr37,-0.05952960743291706,-0.0565429040131176,-0.08263983733754454,-0.003948416471046885,0.06365709532928618,0.06892865258905007,-0.044469937677021065,0.07329741980167596,0.09292595008267963,0.3150056883289429,0.25667104806488744,0.25667104806488744,0.014339880293841388,0.025037838735094766,0.1596367546643647,-0.17110671155847776,0.1468784840075686,-0.09128828397614024,0.0373161701723253,-0.003976856259235707,0.18142954431636824,-0.05418879093855934,-0.0975532160151561,-0.014027541786390645,0.06069984028320445,0.28914652550771197,-0.04400151831776553,0.30941207008072147,0.03992580442911367,0.37279406198033976,-0.3164970717831757,0.37701972456414123,7.832831414350094e-16,7.832831414350094e-16,0.19913633756751434,1.0
