S_a,S_q,S_sk,S_ku,S_z,S_10z,S_v,S_p,S_mean,S_sc,S_2a,S_3a,S_dr,S_dq,S_dq6,S_bi,S_ci,S_vi,S_pk,S_vk,S_k,S_dc0-5,S_dc5-10,S_dc10-50,S_dc50-95,S_dc50-100,S_ds,S_td,S_tdi,S_rw,S_rwi,S_hw,S_fd,S_cl20,S_cl37,S_tr20,S_tr37
63.41388972543671,77.39751505536817,0.4709907746216437,2.701010109718164,464.2464815914799,1592.4200321041226,-173.7178745246542,290.52860706682566,125.35805379908861,41435.74464715282,25.0,28911017.79904561,115643971.19618244,89.95579552493592,89.95805051118025,0.5523945300861247,1.7553986922771116,0.07661452776389634,85.14781799411723,36.59963499734624,201.9472194922937,150.41586003563944,30.64026778503768,119.77559225060182,101.20573298694262,163.41476152020093,159.96,135.0,0.3804201099223105,0.99609375,0.047944498845032775,0.99609375,2.4363345924513995,0.013810679320049757,0.013810679320049757,75.28380505890433,72.59124125742896
463.6319366640341,568.1793933680032,0.632828159190074,2.5697521762988034,2624.8341204664684,8313.845266663304,-1037.4172975083686,1587.4168229581,459.2406491361372,23380.35478029697,25.0,35413262.59604157,141652950.38416627,89.96611678903332,89.95472577902312,0.5169037430561445,1.8962835307726955,0.05620700739922781,741.1041338621715,138.35067945232885,1404.2862544495601,488.21914640676346,183.73838843265276,1023.6853069819227,640.4595253938182,929.1912786451297,133.76,90.0,0.372066625160463,4.98046875,0.02412550220099578,2.490234375,2.2359161018910876,0.013810679320049757,0.013810679320049757,157.52596252473577,50.980239030173294
249.86023325247942,315.16011217549175,0.4106058142577673,2.8637152530683676,1822.2635607127622,5899.934403592903,-745.5932848360347,1076.6702758767276,386.77824666312085,95054.85281346802,25.0,150254170.51320142,601016582.0528057,89.98023314766235,89.98125361374332,0.5390493440840126,1.778226695606528,0.09531623997572261,396.8840002994652,259.88280890888234,683.3488352672857,492.01116139244584,123.9139221284679,513.878324120999,415.4760918425098,692.4601530708496,171.48,135.0,0.4710796664253923,4.98046875,0.024805105695033646,2.490234375,2.3806201409377654,0.013810679320049757,0.013810679320049757,63.68803093840745,53.61372858350767
347.01251433023833,444.22362398041395,0.6067611790365179,2.977554278705561,2325.477480054837,7685.077452094819,-882.7754339996574,1442.7020460551796,421.70011398629595,76371.71625919748,25.0,124230408.80117112,496921535.2046845,89.97928426644285,89.97856426608992,0.49438363110429495,1.949243391952416,0.08943803065839781,666.3344033190342,301.7575140155233,918.5636046216604,544.1617303328318,227.89679304537412,748.8037485776574,599.973189854148,804.6152080989737,170.6,135.0,0.4371493729930227,2.490234375,0.027061410878818054,2.490234375,2.308863556748735,0.013810679320049757,0.013810679320049757,49.1602364754827,62.110060691181395
390.12470210428904,485.63334452893787,0.7736019790806179,3.0280270971086027,2498.0965962602595,8987.384324837189,-842.672169878299,1655.4244263819605,481.7956320208083,87474.73090623175,25.0,170833256.4185227,683332925.6740907,89.98299247618799,89.98215004513003,0.5160993059552718,1.8945515551058472,0.06869726089241315,724.870403107623,151.2053221991959,999.2386385041037,714.4556265304341,209.84011408586184,844.3566495359678,539.5888647922161,729.4442061079958,149.68,135.0,0.292200457014121,1.66015625,0.03247178469534384,1.66015625,2.341035695190545,0.013810679320049757,0.013810679320049757,121.38833560468926,47.78165516475882
414.7948613236349,506.64233357456663,0.21540548000805387,2.524867438881385,3358.571241116637,9837.9227542007,-1165.8943469749518,2192.676894141685,636.9814010817115,76748.76355141216,25.0,134732322.95664436,538929191.8265774,89.98060717469754,89.97870002093363,0.6013335771699112,1.59252316128883,0.09167232337726418,390.2023815452328,263.7246802834796,1377.0142088578207,1350.1456389288878,127.62570716243226,745.6028155278934,772.4713854568263,1135.1970794974231,161.68,90.0,0.2379230668537245,4.98046875,0.02217723999320194,2.490234375,2.273913626988821,0.013810679320049757,0.013810679320049757,139.31121046065283,164.2805188964562
72.62249074848076,93.79123203284745,0.8620565763883257,3.4335009499154348,568.4499042996878,2071.9412890610856,-169.92736666572014,398.52253763396766,90.16444063175614,24865.608430159344,25.0,11111924.702264233,44447598.80905693,89.92820911241526,89.92840419480919,0.4953771687001426,1.9747290676171603,0.0683879755468657,152.4778442217638,37.71664452575794,190.43071794039537,209.18956478228515,48.88669176977311,158.02907339531322,109.14238162554005,152.34457435231633,178.92,90.0,0.4770271842754138,4.98046875,0.0167289899821498,4.98046875,2.376424192647261,0.013810679320049757,0.013810679320049757,131.6128910941393,96.10509460442225
28.142977892151947,35.4213393649431,1.0003150690217038,3.6726092932041974,225.7481791321508,815.0667120934863,-68.53576647824536,157.21241265390543,41.32266250838926,16860.65597803246,25.0,4829088.887924033,19316255.551696133,89.88999368855771,89.89633964307922,0.5022514452960021,1.9720160479158617,0.0497829462390004,58.79070896112063,10.120732926560104,73.36815821794897,86.68730078674591,18.511350688836373,60.952008365680705,34.31372322808692,59.59751929088781,169.92,90.0,0.45508809722638693,4.98046875,0.04409753721636239,1.66015625,2.3885986636665137,0.013810679320049757,0.013810679320049757,52.831661232626026,61.8535613225319
145.76119260801153,180.2189157392593,0.500562050370849,2.541653546409935,846.7175228954395,2790.3353384923303,-349.37639909273827,497.34112380270125,177.00125622275482,13395.110597625953,25.0,11094425.92992069,44377603.71968276,89.93969887416576,89.92264670427487,0.5250544375226407,1.8434188173291053,0.07915377107815738,224.65794085856038,67.81998534977318,414.8915862187653,154.10258916697,74.51114201479868,292.96426292182207,242.16121154809565,325.13952879184876,122.56,135.0,0.3477675889370628,2.490234375,0.028766856847210465,1.66015625,2.2753805328345953,0.013810679320049757,0.013810679320049757,127.4849496662694,158.19712053609908
134.26836672283142,178.65971985403675,0.2702168114935621,3.727812231439632,1115.1751541494223,3374.356703850676,-535.1571373185488,580.0180168308734,227.15825319573776,29112.178280860047,25.0,19423704.319859046,77694717.27943619,89.94805569682512,89.94546397477107,0.5199629223754281,1.828921180860833,0.11755614658183099,268.0598729578331,262.25548934744666,362.43192509856215,236.41713267967748,89.21401233195377,276.5634382290567,236.41713267967754,512.9805709087343,163.68,0.0,0.16865604705519582,4.98046875,0.025459416034766712,2.490234375,2.320798736624608,0.013810679320049757,0.013810679320049757,129.65909216338133,81.4956420952138
